Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR28595943,2024-04-09 07:18:14,2024-04-09 07:12:22,39819435,11046658415,39819435,277,3559,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595943/SRR28595943.lite.1,SRX24195019,DG75-ER-Eth-8h-R2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968804,SAMN40891572,simple,9606,Homo sapiens,ER-EtOH 8h R2,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,9BC1B1C5D51917A563517B9D1E5AD2ED,18C7BC8577252B272495461CD9F96BD7
SRR28595932,2024-04-09 07:15:32,2024-04-09 07:08:58,33283495,9262663416,33283495,278,2972,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595932/SRR28595932.lite.1,SRX24195030,DG75-ER-Eth-8h-R3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968815,SAMN40891573,simple,9606,Homo sapiens,ER-EtOH 8h R3,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,49856BF51527E6B1DC2361FFDDD5713E,73AB515DB3EDE53E2403AB766BA8F148
SRR28595930,2024-04-09 07:10:22,2024-04-09 07:06:12,27492465,7482009616,27492465,272,2402,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595930/SRR28595930.lite.1,SRX24195032,DG75-SOX11-OHT-24h-R1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968817,SAMN40891592,simple,9606,Homo sapiens,SOX11-4OHT 24h R1,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,63CAE8A6C271D6EB8D52619E34561F02,B3A87D636D84017F50BDCB6C45207DE4
SRR28595929,2024-04-09 07:10:22,2024-04-09 07:07:15,25053080,6893353669,25053080,275,2212,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595929/SRR28595929.lite.1,SRX24195033,DG75-SOX11-OHT-24h-R2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968818,SAMN40891593,simple,9606,Homo sapiens,SOX11-4OHT 24h R2,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,0B472E7C38BA5C49BD75C37BC253E538,35296A7EEE43528AB8AA5FC48418DF6C
SRR28595928,2024-04-09 07:10:22,2024-04-09 07:07:04,26685545,7374522258,26685545,276,2372,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595928/SRR28595928.lite.1,SRX24195034,DG75-SOX11-OHT-24h-R3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968820,SAMN40891594,simple,9606,Homo sapiens,SOX11-4OHT 24h R3,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,2F930CD21C420954340FAFF56013CB35,6CA8FC83F6FAD3C3E5E8BAD49E037772
SRR28595921,2024-04-09 07:10:22,2024-04-09 07:06:28,26954521,7239480210,26954521,268,2317,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595921/SRR28595921.lite.1,SRX24195041,DG75-SOX11-OHT-8h-R1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968827,SAMN40891580,simple,9606,Homo sapiens,SOX11-4OHT 8h R1,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,089D98C1177DA7EFF637C4061E68E3B0,71ABF75094E12A2C5DCCF9664A8EE3D9
SRR28595942,2024-04-09 07:09:23,2024-04-09 07:03:28,24048411,6641097172,24048411,276,2130,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595942/SRR28595942.lite.1,SRX24195020,DG75-SOX11-OHT-8h-R2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968807,SAMN40891581,simple,9606,Homo sapiens,SOX11-4OHT 8h R2,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,3C56E5AAFD8CE018F7A341592A0BB28E,A9911067A849BE917D99E85707EA506F
SRR28595941,2024-04-09 07:15:32,2024-04-09 07:08:52,30024972,8298084392,30024972,276,2679,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595941/SRR28595941.lite.1,SRX24195021,DG75-SOX11-OHT-8h-R3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968819,SAMN40891582,simple,9606,Homo sapiens,SOX11-4OHT 8h R3,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,0038CCEC224FBD3BCF2E1EAA075937F6,6B7F8AF195C2864CA613C38E45AA5707
SRR28595934,2024-04-09 07:10:22,2024-04-09 07:06:59,25528277,7027272066,25528277,275,2284,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595934/SRR28595934.lite.1,SRX24195028,DG75-SOX11-Eth-24h-R1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968813,SAMN40891589,simple,9606,Homo sapiens,SOX11-EtOH 24h R1,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,C2EC71CD5BA0BAA401AF267E3C8752E1,7A151A063D05EFD0FF0D12E7E2ED8416
SRR28595933,2024-04-09 07:18:14,2024-04-09 07:11:00,33440851,9243023253,33440851,276,2979,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595933/SRR28595933.lite.1,SRX24195029,DG75-SOX11-Eth-24h-R2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968814,SAMN40891590,simple,9606,Homo sapiens,SOX11-EtOH 24h R2,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,655191551E1F87E7FD20D1ED90E11622,22CB9A226E2C776292E018C779545984
SRR28595931,2024-04-09 07:15:32,2024-04-09 07:09:17,30413117,8426591655,30413117,277,2716,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595931/SRR28595931.lite.1,SRX24195031,DG75-SOX11-Eth-24h-R3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968816,SAMN40891591,simple,9606,Homo sapiens,SOX11-EtOH 24h R3,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,3E0247321E19D5DAB5B7D49685EC8D46,D1A68D6DF0721DA147F6AB08527B1177
SRR28595924,2024-04-09 07:10:22,2024-04-09 07:06:37,28393489,7841240747,28393489,276,2517,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595924/SRR28595924.lite.1,SRX24195038,DG75-SOX11-Eth-8h-R1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968824,SAMN40891577,simple,9606,Homo sapiens,SOX11-EtOH 8h R1,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,26338F307D21025DFE3C6C08A7537862,DDCDA402C0EE047F876A2A19EF151A92
SRR28595923,2024-04-09 07:09:23,2024-04-09 07:04:46,29382963,8106185341,29382963,275,2604,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595923/SRR28595923.lite.1,SRX24195039,DG75-SOX11-Eth-8h-R2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968825,SAMN40891578,simple,9606,Homo sapiens,SOX11-EtOH 8h R2,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,81D83B9B89A7AB87481EAE8402741805,0D5C6537E4AEE75FD8E8835F3332B020
SRR28595922,2024-04-09 07:10:22,2024-04-09 07:05:47,26255454,7247225049,26255454,276,2326,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595922/SRR28595922.lite.1,SRX24195040,DG75-SOX11-Eth-8h-R3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968826,SAMN40891579,simple,9606,Homo sapiens,SOX11-EtOH 8h R3,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,F20DEE5D07BFD9D312368505096093FC,613FE0EC9122559D563F63A904417112
